Word,IPA,PartOfSpeech,Meaning,Level
cause,[kɔ́ːz],名詞/動詞,原因(〜を引き起こす),5
develop,[divéləp],動詞,〜を発展させる・開発する,5
due,[djúː],形容詞,〜が原因で・支払期限の,5
form,[fɔ́ːrm],名詞/動詞,形・形式(〜を形成する),5
increase,[ínkriːs],名詞,増加,5
include,[inklúːd],動詞,〜を含む,5
lack,[lǽk],名詞/動詞,不足(〜を欠いている),5
state,[stéit],名詞/動詞,状態・州(〜を述べる),5
term,[tə́ːrm],名詞,用語・期間,5
whereas,[hwεərǽz],接続詞,〜である一方で,5
alter,[ɔ́ːltər],動詞,〜を変える,4
conduct,[kάndʌkt],名詞,行為・品行,4
conduct,[kəndʌ́kt],動詞,〜を行う・指揮する,4
era,[íərə],名詞,時代,4
ethic,[éθik],名詞,倫理・道徳,4
notion,[nóuʃən],名詞,概念・考え,4
